Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,97.139999,98.900002,96.750000,98.410004,83.713142,4561300
2018-01-03,98.550003,100.099998,98.040001,99.949997,85.023140,4702300
2018-01-04,100.070000,100.120003,98.349998,99.379997,84.538277,3579000
2018-01-05,99.339996,101.199997,98.559998,101.110001,86.009903,4599300
2018-01-08,101.279999,101.279999,98.180000,99.489998,84.631821,5582000
2018-01-09,99.489998,100.660004,98.699997,100.239998,85.269829,4055400
2018-01-10,99.650002,100.199997,99.180000,99.690002,84.801979,4608600
2018-01-11,99.370003,99.489998,98.559998,99.269997,85.050423,4240900
2018-01-12,99.339996,100.639999,98.660004,100.339996,85.967155,4372600
2018-01-16,100.260002,103.000000,100.000000,102.489998,87.809181,8528600
2018-01-17,103.000000,104.839996,102.550003,104.360001,89.411339,5384900
2018-01-18,104.290001,104.849998,103.440002,103.809998,88.940109,6371200
2018-01-19,104.330002,104.870003,103.550003,104.639999,89.651230,4991300
2018-01-22,104.699997,106.540001,104.459999,106.489998,91.236221,4538100
2018-01-23,106.169998,106.970001,105.029999,105.379997,90.285233,5095300
2018-01-24,105.260002,106.230003,104.099998,105.510002,90.396606,4436500
2018-01-25,105.949997,108.370003,105.739998,108.300003,92.786957,6327500
2018-01-26,114.500000,125.860001,113.500000,123.209999,105.561241,19614500
2018-01-29,121.500000,124.150002,118.980003,122.309998,104.790146,10182700
2018-01-30,119.419998,121.449997,115.870003,115.879997,99.281189,11851400
2018-01-31,116.209999,116.500000,111.290001,112.220001,96.145470,15744800
2018-02-01,112.239998,117.529999,112.230003,116.339996,99.675301,9943500
2018-02-02,115.500000,117.930000,114.919998,115.169998,98.672882,7184400
2018-02-05,113.000000,115.540001,109.400002,109.510002,93.823662,9827800
2018-02-06,104.910004,113.519997,101.000000,111.199997,95.271553,14107800
2018-02-07,111.519997,116.849998,111.379997,113.620003,97.344933,10030800
2018-02-08,113.330002,114.000000,108.320000,108.480003,92.941177,7212400
2018-02-09,109.570000,112.750000,106.410004,111.300003,95.357239,8909300
2018-02-12,112.570000,113.330002,110.650002,111.930000,95.897003,4823300
2018-02-13,111.540001,112.410004,110.389999,111.860001,95.837021,5316200
2018-02-14,111.040001,113.669998,110.279999,113.080002,96.882278,6189100
2018-02-15,113.620003,116.330002,112.379997,114.900002,98.441566,7401100
2018-02-16,115.230003,119.199997,115.199997,118.599998,101.611580,8717000
2018-02-20,117.720001,121.550003,117.220001,117.980003,101.080391,8751400
2018-02-21,118.489998,121.300003,117.849998,117.910004,101.020416,5122500
2018-02-22,118.570000,119.730003,116.580002,117.559998,100.720551,5185700
2018-02-23,118.410004,119.309998,116.889999,118.750000,101.740089,4685700
2018-02-26,119.269997,121.720001,119.040001,121.540001,104.130447,4473500
2018-02-27,121.209999,122.000000,118.160004,118.260002,101.320290,4754300
2018-02-28,119.000000,120.000000,115.779999,115.830002,99.238358,6660000
2018-03-01,115.910004,116.610001,111.809998,113.839996,97.533401,7148900
2018-03-02,112.940002,115.470001,111.889999,115.040001,98.561523,5439700
2018-03-05,114.000000,116.320000,112.889999,115.660004,99.092712,3975700
2018-03-06,116.010002,116.300003,113.830002,114.559998,98.150261,3650500
2018-03-07,112.580002,114.989998,112.209999,114.720001,98.287361,5286200
2018-03-08,115.000000,117.750000,114.349998,117.010002,100.249344,6179400
2018-03-09,117.849998,119.660004,117.669998,119.290001,102.202751,5835600
2018-03-12,119.400002,119.589996,117.930000,118.300003,101.354553,4892900
2018-03-13,119.260002,121.449997,118.730003,119.750000,102.596863,5403200
2018-03-14,120.339996,120.669998,117.949997,118.940002,101.902885,3556100
2018-03-15,119.000000,119.500000,114.879997,114.930000,98.467270,5812400
2018-03-16,114.889999,116.730003,113.589996,113.709999,97.422028,8879300
2018-03-19,113.739998,114.980003,110.440002,112.029999,95.982674,8598900
2018-03-20,112.900002,114.150002,112.089996,112.650002,96.513863,4933800
2018-03-21,113.080002,113.790001,111.730003,112.449997,96.342522,4618000
2018-03-22,104.190002,104.500000,95.519997,98.099998,84.048027,26861200
2018-03-23,98.989998,100.320000,97.370003,97.459999,83.499687,14253600
2018-03-26,99.489998,99.910004,91.760002,95.279999,81.631966,13760600
2018-03-27,95.500000,95.720001,91.120003,92.010002,78.830353,10821300
2018-03-28,92.190002,96.849998,91.580002,94.269997,80.766647,11154200
2018-03-29,94.519997,95.540001,93.500000,94.650002,81.092224,7399400
2018-04-02,94.000000,94.639999,90.300003,91.459999,78.359146,7816500
2018-04-03,92.339996,92.459999,88.220001,90.589996,77.613754,10449200
2018-04-04,88.709999,93.410004,88.629997,92.940002,79.627159,8841700
2018-04-05,93.070000,93.269997,91.650002,92.209999,79.001724,7045000
2018-04-06,91.449997,92.769997,88.790001,89.779999,76.919792,6761200
2018-04-09,91.389999,93.379997,90.419998,90.480003,77.519531,8302100
2018-04-10,91.500000,94.389999,90.930000,93.620003,80.209747,6253700
2018-04-11,92.580002,94.480003,92.400002,93.639999,80.226875,7135700
2018-04-12,93.709999,93.709999,92.070000,92.120003,79.742119,6402500
2018-04-13,92.629997,92.639999,91.089996,91.830002,79.491074,4630000
2018-04-16,92.889999,93.489998,92.309998,92.599998,80.157631,3922500
2018-04-17,93.199997,94.010002,92.620003,93.589996,81.014603,4474700
