Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,134.199997,134.800003,133.410004,134.500000,130.732773,940700
2018-01-03,134.729996,135.490005,134.000000,135.369995,131.578430,764500
2018-01-04,135.720001,136.820007,135.550003,136.470001,132.647583,723200
2018-01-05,135.899994,137.270004,135.199997,137.179993,133.337708,1048900
2018-01-08,136.639999,137.000000,136.039993,136.699997,132.871140,1099900
2018-01-09,136.619995,137.410004,136.369995,136.660004,132.832291,887400
2018-01-10,136.520004,136.520004,134.630005,135.119995,131.335434,881000
2018-01-11,135.279999,137.059998,135.110001,137.029999,133.191879,1563400
2018-01-12,137.449997,138.119995,137.029999,137.679993,133.823685,1267000
2018-01-16,138.410004,138.679993,136.610001,137.020004,133.182205,1133700
2018-01-17,137.759995,137.830002,136.250000,137.429993,133.580704,1131700
2018-01-18,137.279999,139.070007,137.149994,138.350006,134.474945,911500
2018-01-19,139.220001,139.970001,138.369995,139.750000,135.835724,1068300
2018-01-22,139.789993,140.429993,139.320007,140.339996,136.409210,1543100
2018-01-23,140.500000,140.500000,136.410004,137.759995,133.901474,2388000
2018-01-24,137.759995,138.240005,136.600006,137.309998,133.464081,2012500
2018-01-25,137.979996,138.779999,137.259995,138.320007,134.445786,1319800
2018-01-26,138.679993,138.970001,137.669998,138.149994,134.280548,1189200
2018-01-29,137.539993,138.309998,136.970001,137.500000,133.648743,1109800
2018-01-30,137.080002,138.250000,137.080002,137.580002,133.726532,1019000
2018-01-31,137.889999,138.580002,137.179993,137.679993,133.823685,1738700
2018-02-01,137.300003,138.729996,137.000000,138.490005,134.611008,1556300
2018-02-02,137.729996,139.300003,136.910004,137.059998,133.221069,1641100
2018-02-05,136.619995,138.100006,132.050003,132.050003,128.351379,1862600
2018-02-06,130.399994,132.770004,128.639999,131.740005,128.050095,2828200
2018-02-07,130.940002,135.429993,130.940002,133.119995,129.391434,2052300
2018-02-08,133.229996,133.639999,127.660004,127.760002,124.181557,2457200
2018-02-09,128.880005,129.800003,125.739998,128.520004,124.920265,2224200
2018-02-12,129.240005,131.029999,129.009995,130.160004,126.514343,1551400
2018-02-13,129.089996,129.970001,127.190002,129.339996,125.717278,1385600
2018-02-14,128.479996,130.410004,128.100006,129.800003,126.164429,1339800
2018-02-15,130.679993,131.770004,130.330002,131.770004,128.079269,1447200
2018-02-16,131.220001,132.910004,130.949997,131.490005,127.807098,1301800
2018-02-20,131.490005,133.440002,130.139999,131.720001,128.030640,1390400
2018-02-21,132.080002,132.529999,129.830002,129.899994,126.261604,1597200
2018-02-22,130.520004,131.369995,129.139999,129.449997,125.824226,1332600
2018-02-23,130.190002,130.960007,129.320007,130.839996,127.175278,1529500
2018-02-26,131.229996,132.210007,130.850006,131.990005,128.293091,1100600
2018-02-27,132.000000,132.419998,131.059998,131.089996,127.418266,908900
2018-02-28,131.449997,132.050003,130.440002,130.449997,126.796211,1314400
2018-03-01,129.899994,131.059998,128.080002,128.710007,125.104935,1309300
2018-03-02,128.220001,129.059998,127.230003,127.860001,124.278755,1204600
2018-03-05,127.300003,130.399994,127.300003,129.949997,126.310211,1186600
2018-03-06,130.289993,131.639999,129.360001,131.009995,127.340523,933900
2018-03-07,130.149994,133.190002,129.899994,132.800003,129.080368,2000000
2018-03-08,133.190002,134.410004,132.800003,134.339996,130.577255,1887900
2018-03-09,133.940002,134.949997,133.750000,134.910004,131.131302,2136600
2018-03-12,135.000000,137.220001,134.729996,136.779999,132.948898,1450200
2018-03-13,137.070007,137.509995,136.000000,136.830002,132.997543,1403600
2018-03-14,137.369995,137.729996,136.050003,136.309998,132.492050,1536700
2018-03-15,136.389999,136.919998,135.919998,136.699997,132.871140,1259900
2018-03-16,136.839996,138.440002,136.699997,138.080002,134.212509,1852400
2018-03-19,137.389999,138.089996,136.050003,136.479996,133.052399,1333700
2018-03-20,136.479996,137.009995,135.380005,136.630005,133.198608,1160700
2018-03-21,136.619995,137.820007,136.130005,136.419998,132.993896,931200
2018-03-22,135.500000,136.300003,133.929993,134.119995,130.751648,1093600
2018-03-23,134.550003,135.139999,132.250000,132.250000,128.928635,1289900
2018-03-26,133.610001,134.850006,132.619995,134.740005,131.356094,1790400
2018-03-27,134.919998,137.020004,134.190002,134.979996,131.590042,1397100
2018-03-28,135.539993,136.710007,134.960007,135.309998,131.911758,1224400
2018-03-29,135.929993,137.929993,134.940002,137.070007,133.627563,1319200
2018-04-02,136.710007,137.000000,132.789993,133.970001,130.605423,1112000
2018-04-03,134.660004,137.419998,133.979996,136.899994,133.461823,1611000
2018-04-04,135.279999,139.020004,134.889999,138.869995,135.382355,1525400
2018-04-05,139.580002,141.869995,139.119995,141.250000,137.702591,1666100
2018-04-06,140.520004,141.990005,139.000000,139.779999,136.269501,1791800
2018-04-09,140.630005,141.910004,139.919998,140.250000,136.727707,1470500
2018-04-10,141.449997,142.639999,140.580002,141.639999,138.082779,1319100
2018-04-11,140.669998,141.139999,139.850006,140.649994,137.117661,1047100
2018-04-12,141.270004,142.070007,140.699997,141.380005,137.829330,921700
2018-04-13,142.100006,142.130005,140.820007,141.179993,137.634338,847900
2018-04-16,142.309998,147.050003,141.289993,146.960007,143.269226,3491100
2018-04-17,147.779999,148.509995,145.899994,148.070007,144.351288,1550900
2018-04-18,148.410004,150.460007,147.860001,149.839996,146.076843,1416100
2018-04-19,149.979996,149.979996,148.490005,148.979996,145.238464,1129000
2018-04-20,148.779999,149.169998,147.610001,148.550003,144.819244,1160600
2018-04-23,148.220001,149.619995,148.220001,149.149994,145.404190,1334300
2018-04-24,149.399994,149.639999,144.889999,146.250000,142.577026,1538400
2018-04-25,146.029999,146.029999,143.740005,145.169998,141.524124,1845800
2018-04-26,145.779999,146.820007,144.820007,146.179993,142.508759,1021400
2018-04-27,145.929993,147.089996,144.649994,146.710007,143.025467,1196800
2018-04-30,147.380005,147.990005,144.419998,144.770004,141.134171,2107700
2018-05-01,136.000000,147.479996,136.000000,147.130005,143.434921,1998400
2018-05-02,145.580002,146.850006,143.729996,144.240005,140.617508,1641500
2018-05-03,143.410004,145.110001,142.919998,144.179993,140.559006,1432100
2018-05-04,143.740005,146.449997,143.199997,145.389999,141.738617,949900
2018-05-07,145.929993,146.619995,145.369995,145.789993,142.128571,999600
2018-05-08,145.669998,146.460007,145.059998,145.490005,141.836105,1126000
2018-05-09,145.929993,147.309998,145.229996,146.979996,143.288681,1397200
2018-05-10,147.470001,148.000000,146.899994,147.660004,143.951584,779600
2018-05-11,147.660004,147.860001,146.850006,147.149994,143.454376,730900
2018-05-14,147.440002,147.750000,145.919998,146.289993,142.616028,1364500
2018-05-15,146.050003,146.300003,145.539993,146.210007,142.538010,1208900
2018-05-16,146.699997,148.410004,146.320007,147.710007,144.000366,1101300
2018-05-17,147.429993,148.229996,146.839996,147.070007,143.376434,940600
2018-05-18,146.889999,148.179993,146.889999,147.830002,144.117371,1020700
2018-05-21,148.279999,148.639999,147.570007,148.000000,144.283081,711300
2018-05-22,148.300003,148.440002,146.380005,146.509995,142.830475,911400
2018-05-23,145.490005,146.240005,144.990005,145.630005,141.972580,1016200
2018-05-24,145.520004,146.250000,145.270004,145.470001,141.816620,913000
2018-05-25,145.029999,145.630005,144.210007,144.710007,141.075699,932200
2018-05-29,143.679993,144.169998,141.589996,141.750000,138.190033,1613400
2018-05-30,142.479996,144.639999,142.440002,144.029999,140.412766,1057300
2018-05-31,144.000000,144.320007,142.270004,142.610001,139.028458,1042700
2018-06-01,143.559998,144.009995,143.289993,143.600006,139.993576,766700
2018-06-04,144.279999,144.649994,143.960007,144.259995,140.636963,573900
2018-06-05,144.009995,144.850006,144.009995,144.610001,140.978195,1115200
2018-06-06,144.979996,146.679993,143.960007,146.580002,142.898758,1509700
2018-06-07,146.529999,146.979996,145.190002,145.869995,142.206543,834000
2018-06-08,145.869995,146.740005,145.419998,146.190002,142.518509,743600
2018-06-11,145.850006,146.460007,145.250000,145.300003,141.650894,1015900
2018-06-12,145.869995,146.410004,144.779999,145.050003,141.407150,868000
2018-06-13,145.000000,145.899994,144.270004,144.710007,141.075699,657200
2018-06-14,145.309998,145.679993,144.419998,145.399994,141.748352,785500
2018-06-15,145.559998,146.600006,144.020004,146.570007,142.888977,2301700
2018-06-18,145.229996,145.820007,144.270004,144.929993,141.686508,746400
2018-06-19,143.770004,145.169998,143.139999,144.589996,141.354080,1416900
2018-06-20,144.600006,145.149994,143.470001,143.649994,140.435150,716900
2018-06-21,143.309998,143.830002,141.000000,141.559998,138.391907,1134100
2018-06-22,139.649994,140.720001,137.600006,138.869995,135.762100,2700900
2018-06-25,139.000000,139.839996,137.619995,138.419998,135.322205,1128500
2018-06-26,139.089996,140.050003,138.330002,138.419998,135.322205,1178100
2018-06-27,139.119995,140.350006,138.320007,138.330002,135.234207,1825300
2018-06-28,138.539993,140.360001,138.539993,140.080002,136.945068,1057200
2018-06-29,140.429993,141.669998,140.279999,140.330002,137.189484,1405200
2018-07-02,139.750000,140.330002,138.649994,140.240005,137.101456,950300
2018-07-03,141.020004,141.729996,139.759995,139.970001,136.837509,441700
2018-07-05,140.449997,141.210007,140.259995,140.740005,137.590286,778400
2018-07-06,140.919998,142.220001,140.419998,141.759995,138.587448,664900
2018-07-09,142.020004,142.529999,141.690002,142.050003,138.870941,621500
2018-07-10,142.270004,143.009995,142.050003,142.910004,139.711716,519000
2018-07-11,142.259995,143.399994,141.600006,141.940002,138.763428,523200
2018-07-12,142.669998,142.869995,142.130005,142.660004,139.467316,543400
2018-07-13,142.850006,143.399994,142.610001,143.160004,139.956131,670900
2018-07-16,143.259995,143.410004,142.309998,142.619995,139.428207,690000
2018-07-17,142.410004,144.080002,142.210007,143.720001,140.503571,663700
2018-07-18,144.000000,144.559998,143.520004,144.000000,140.777313,770200
2018-07-19,143.149994,143.610001,141.830002,141.899994,138.724289,1149000
2018-07-20,141.289993,141.619995,140.580002,140.910004,137.756470,1027800
2018-07-23,140.940002,141.080002,139.699997,140.339996,137.199234,877800
2018-07-24,141.119995,141.610001,140.240005,140.610001,137.463196,899900
2018-07-25,140.660004,141.699997,139.800003,141.600006,138.431030,1238600
2018-07-26,142.130005,143.119995,141.990005,142.699997,139.506393,919100
2018-07-27,142.720001,143.050003,140.330002,140.949997,137.795563,1006400
2018-07-30,140.869995,142.539993,140.529999,140.740005,137.590286,1390000
2018-07-31,140.580002,142.850006,139.509995,140.699997,137.551193,2095900
2018-08-01,141.399994,145.279999,141.250000,144.699997,141.461655,2380800
2018-08-02,144.309998,147.160004,143.770004,146.339996,143.064957,2127000
2018-08-03,146.800003,147.199997,146.309998,147.119995,143.827484,1077300
2018-08-06,146.550003,148.789993,146.500000,148.169998,144.853989,1155700
2018-08-07,148.160004,149.309998,147.669998,148.960007,145.626328,1090200
2018-08-08,148.899994,149.210007,147.729996,148.419998,145.098404,963500
2018-08-09,148.860001,148.960007,147.679993,147.839996,144.531387,891500
2018-08-10,147.440002,147.660004,146.710007,146.860001,143.573303,838300
2018-08-13,146.899994,148.050003,145.690002,145.970001,142.703232,983500
2018-08-14,146.100006,147.570007,145.929993,147.039993,143.749283,777500
2018-08-15,146.610001,146.899994,145.000000,146.070007,142.801010,798900
2018-08-16,146.529999,147.259995,146.149994,146.690002,143.407120,649800
2018-08-17,146.860001,147.440002,146.399994,147.309998,144.013229,830200
2018-08-20,147.869995,148.570007,147.639999,148.289993,144.971298,607300
2018-08-21,148.679993,148.800003,147.649994,148.070007,144.756241,545700
2018-08-22,148.020004,148.059998,147.149994,147.190002,143.895920,476300
2018-08-23,147.000000,147.320007,146.449997,147.160004,143.866608,564500
2018-08-24,147.490005,149.320007,147.210007,148.929993,145.596970,757800
2018-08-27,149.100006,149.979996,149.100006,149.820007,146.467087,694900
2018-08-28,150.000000,150.949997,149.259995,149.500000,146.154236,696600
2018-08-29,149.759995,151.009995,149.270004,150.869995,147.493576,617400
2018-08-30,150.720001,151.020004,149.649994,150.119995,146.760345,674800
2018-08-31,149.839996,151.059998,149.570007,150.479996,147.112320,942100
2018-09-04,150.610001,151.339996,150.199997,150.639999,147.268723,1018600
2018-09-05,150.479996,152.520004,150.320007,152.470001,149.057755,1015300
2018-09-06,152.330002,153.619995,152.330002,153.199997,149.771439,870000
2018-09-07,152.710007,153.589996,151.869995,153.350006,149.918076,873900
2018-09-10,153.800003,154.250000,153.339996,153.839996,150.397095,839700
2018-09-11,153.639999,155.059998,153.190002,154.899994,151.433395,754800
2018-09-12,154.979996,156.300003,154.660004,155.720001,152.235046,763400
2018-09-13,156.000000,156.710007,155.199997,156.539993,153.036697,906200
2018-09-14,156.660004,157.229996,156.039993,157.119995,153.603699,726800
2018-09-17,156.809998,157.199997,155.910004,156.240005,153.143021,657700
2018-09-18,156.470001,157.110001,155.330002,156.649994,153.544907,684500
2018-09-19,156.899994,158.070007,156.610001,157.830002,154.701492,789700
2018-09-20,158.169998,159.399994,158.089996,159.199997,156.044357,983500
2018-09-21,159.919998,159.919998,158.770004,159.399994,156.240372,2139700
2018-09-24,159.000000,159.149994,157.259995,157.979996,154.848526,866200
2018-09-25,158.399994,158.619995,156.869995,157.320007,154.201630,754600
2018-09-26,157.229996,157.770004,155.580002,156.850006,153.740936,848400
2018-09-27,156.820007,157.940002,156.479996,156.830002,153.721313,539600
2018-09-28,156.500000,157.610001,155.679993,156.779999,153.672287,1153700
2018-10-01,157.570007,158.039993,156.490005,157.399994,154.280029,530700
2018-10-02,157.660004,157.729996,156.520004,157.220001,154.103592,732300
2018-10-03,157.649994,158.119995,155.910004,156.110001,153.015594,891600
2018-10-04,155.619995,156.339996,154.869995,156.110001,153.015594,885600
2018-10-05,156.270004,157.789993,156.000000,157.589996,154.466263,935400
2018-10-08,157.589996,158.100006,157.050003,157.369995,154.250610,1128200
2018-10-09,156.529999,157.929993,154.539993,154.960007,151.888412,966700
2018-10-10,155.039993,155.990005,150.690002,150.809998,147.820633,1657900
