Date,Close,Balance,apl30,Month
1/2/2018,43.064999,10000,,Jan-18
1/3/2018,43.057499,10000,,Jan-18
1/4/2018,43.2575,10000,,Jan-18
1/5/2018,43.75,10000,,Jan-18
1/8/2018,43.587502,10000,,Jan-18
1/9/2018,43.5825,10000,,Jan-18
1/10/2018,43.572498,10000,,Jan-18
1/11/2018,43.82,10000,,Jan-18
1/12/2018,44.272499,10000,,Jan-18
1/16/2018,44.047501,10000,,Jan-18
1/17/2018,44.775002,10000,,Jan-18
1/18/2018,44.814999,10000,,Jan-18
1/19/2018,44.615002,10000,,Jan-18
1/22/2018,44.25,10000,,Jan-18
1/23/2018,44.259998,10000,,Jan-18
1/24/2018,43.555,10000,,Jan-18
1/25/2018,42.7775,10000,,Jan-18
1/26/2018,42.877499,10000,,Jan-18
1/29/2018,41.990002,10000,,Jan-18
1/30/2018,41.7425,10000,,Jan-18
1/31/2018,41.857498,10000,,Jan-18
2/1/2018,41.945,10000,,Feb-18
2/2/2018,40.125,10000,,Feb-18
2/5/2018,39.122501,10000,,Feb-18
2/6/2018,40.7575,10000,,Feb-18
2/7/2018,39.884998,10000,,Feb-18
2/8/2018,38.787498,10000,,Feb-18
2/9/2018,39.102501,10000,,Feb-18
2/12/2018,40.677502,10000,,Feb-18
2/13/2018,41.084999,10000,42.5,Feb-18
2/14/2018,41.842499,10000,42.46,Feb-18
2/15/2018,43.247501,10000,42.47,Feb-18
2/16/2018,43.107498,10000,42.46,Feb-18
2/20/2018,42.962502,10000,42.43,Feb-18
2/21/2018,42.767502,10000,42.41,Feb-18
2/22/2018,43.125,10000,42.39,Feb-18
2/23/2018,43.875,10000,42.4,Feb-18
2/26/2018,44.7425,10000,42.43,Feb-18
2/27/2018,44.5975,10000,42.44,Feb-18
2/28/2018,44.529999,10000,42.46,Feb-18
3/1/2018,43.75,10000,42.43,Mar-18
3/2/2018,44.052502,10000,42.4,Mar-18
3/5/2018,44.205002,10000,42.39,Mar-18
3/6/2018,44.1675,10000,42.38,Mar-18
